Pais,Año,Valor
Aruba,2015,27458.2253310273
Aruba,2016,27441.5296617282
Aruba,2017,28440.051963759
Aruba,2018,30082.1276448186
Aruba,2019,31096.2050738676
Aruba,2020,22855.9323200761
Aruba,2021,27200.0610793969
Aruba,2022,30559.5335346581
Aruba,2023,33984.7906198041
Aruba,2024,
Afghanistan,2015,565.569730408751
Afghanistan,2016,522.082215583898
Afghanistan,2017,525.469770891619
Afghanistan,2018,491.337221382603
Afghanistan,2019,496.6025042585
Afghanistan,2020,510.787063366811
Afghanistan,2021,356.496214115892
Afghanistan,2022,357.261152798144
Afghanistan,2023,413.757894705303
Afghanistan,2024,
Angola,2015,3213.90261080059
Angola,2016,1807.95294072643
Angola,2017,2437.25971190821
Angola,2018,2538.59139143371
Angola,2019,2189.85571407618
Angola,2020,1449.92286669308
Angola,2021,1925.87466082167
Angola,2022,2929.69445467272
Angola,2023,2309.53413042773
Angola,2024,2122.08368991872
Albania,2015,3981.72662261867
Albania,2016,4168.37544462548
Albania,2017,4614.0479692596
Albania,2018,5365.48880180298
Albania,2019,5460.4305086932
Albania,2020,5370.77749956875
Albania,2021,6413.28280828537
Albania,2022,6846.42669381643
Albania,2023,8575.17134637222
Albania,2024,10011.6279856667
Andorra,2015,38654.9347203095
Andorra,2016,40129.8192007698
Andorra,2017,40672.9943348258
Andorra,2018,42819.7745797624
Andorra,2019,41257.8045846483
Andorra,2020,37361.0900666982
Andorra,2021,42425.6996756291
Andorra,2022,42414.0590092117
Andorra,2023,46812.4484486309
Andorra,2024,49303.6733899464
United Arab Emirates,2015,43534.9972694631
United Arab Emirates,2016,41326.4018161569
United Arab Emirates,2017,42340.5917160161
United Arab Emirates,2018,45689.8570049401
United Arab Emirates,2019,44251.4541398817
United Arab Emirates,2020,37173.8754093066
United Arab Emirates,2021,43360.0211001327
United Arab Emirates,2022,49899.0652975197
United Arab Emirates,2023,49040.6947521035
United Arab Emirates,2024,49377.5643384379
Argentina,2015,13679.6264980954
Argentina,2016,12699.9623137756
Argentina,2017,14532.5009308511
Argentina,2018,11752.7998922979
Argentina,2019,9955.97478680428
Argentina,2020,8535.59938004389
Argentina,2021,10738.0179223384
Argentina,2022,13935.6811110049
Argentina,2023,14187.4827252965
Argentina,2024,13858.2039802008
Armenia,2015,3512.39350276709
Armenia,2016,3524.42476874707
Armenia,2017,3869.05373867752
Armenia,2018,4196.00562301769
Armenia,2019,4597.22887399548
Armenia,2020,4268.68093304583
Armenia,2021,4685.17997128509
Armenia,2022,6571.97445545099
Armenia,2023,8125.27395754003
Armenia,2024,8500.60522486719
American Samoa,2015,12727.4102651386
American Samoa,2016,12843.3342903627
American Samoa,2017,11863.6839452565
American Samoa,2018,12552.0546868861
American Samoa,2019,12886.1359517218
American Samoa,2020,14489.2586563775
American Samoa,2021,15236.1604875571
American Samoa,2022,18017.4589383973
American Samoa,2023,
American Samoa,2024,
Antigua and Barbuda,2015,16077.6340769406
Antigua and Barbuda,2016,16556.8551801588
Antigua and Barbuda,2017,16965.7288273816
Antigua and Barbuda,2018,18273.4270684912
Antigua and Barbuda,2019,18896.3721832248
Antigua and Barbuda,2020,15369.6082250401
Antigua and Barbuda,2021,17348.6006987182
Antigua and Barbuda,2022,20105.1989085164
Antigua and Barbuda,2023,21494.5474000727
Antigua and Barbuda,2024,23725.7903725506
Australia,2015,56739.0265346593
Australia,2016,49888.0410842736
Australia,2017,53901.7145392154
Australia,2018,57196.4220783778
Australia,2019,54972.7017885437
Australia,2020,51791.540179984
Australia,2021,60607.7788605166
Australia,2022,64997.0136536475
Australia,2023,64835.9199754535
Australia,2024,64407.484256932
Austria,2015,43915.228020857
Austria,2016,45061.4993920192
Austria,2017,47163.7425775142
Austria,2018,51194.0749841299
Austria,2019,49885.9947355204
Austria,2020,48716.4098900349
Austria,2021,53648.7190742245
Austria,2022,52176.6649141178
Austria,2023,56033.573792065
Austria,2024,56833.1960472053
Azerbaijan,2015,5500.50364628486
Azerbaijan,2016,3880.6852276838
Azerbaijan,2017,4147.1981423222
Azerbaijan,2018,4739.7943123408
Azerbaijan,2019,4805.75371765917
Azerbaijan,2020,4229.91064904503
Azerbaijan,2021,5408.04535175023
Azerbaijan,2022,7770.594223351
Azerbaijan,2023,7133.02838048328
Azerbaijan,2024,7283.83562954872
Burundi,2015,280.966831311923
Burundi,2016,235.286205393908
Burundi,2017,236.694472592753
Burundi,2018,224.89939239264
Burundi,2019,210.236494521532
Burundi,2020,210.008139902508
Burundi,2021,214.091455416133
Burundi,2022,250.634225368744
Burundi,2023,192.074305359351
Burundi,2024,153.930217854023
Belgium,2015,40893.804537772
Belgium,2016,41854.5498296444
Belgium,2017,44035.3239358548
Belgium,2018,47487.2100392561
Belgium,2019,46716.6227467964
Belgium,2020,45906.2875805246
Belgium,2021,51658.238294958
Belgium,2022,50822.2518538518
Belgium,2023,54690.0942734964
Belgium,2024,55954.6106261018
Benin,2015,1002.41886879614
Benin,2016,1010.5338961993
Benin,2017,1054.97408066814
Benin,2018,1151.7409703472
Benin,2019,1130.82135339795
Benin,2020,1200.19426631122
Benin,2021,1318.65158107487
Benin,2022,1266.42710981159
Benin,2023,1394.17784663045
Benin,2024,1485.38018980894
Burkina Faso,2015,630.124750752312
Burkina Faso,2016,663.742364842886
Burkina Faso,2017,709.091535894695
Burkina Faso,2018,777.465618514048
Burkina Faso,2019,764.853077774946
Burkina Faso,2020,825.237038782475
Burkina Faso,2021,895.535288442991
Burkina Faso,2022,836.118304593682
Burkina Faso,2023,882.689810086163
Burkina Faso,2024,987.321378101867
Bangladesh,2015,1224.38647668165
Bangladesh,2016,1649.28380858601
Bangladesh,2017,1811.08221668646
Bangladesh,2018,1965.24372731467
Bangladesh,2019,2129.79896954606
Bangladesh,2020,2248.85078828233
Bangladesh,2021,2482.84917843357
Bangladesh,2022,2716.48592780431
Bangladesh,2023,2551.01773827307
Bangladesh,2024,2593.41607390407
Bulgaria,2015,7268.65445473873
Bulgaria,2016,7822.49923292968
Bulgaria,2017,8696.68930427924
Bulgaria,2018,9872.38507789106
Bulgaria,2019,10372.8044341114
Bulgaria,2020,10769.9475699414
Bulgaria,2021,12972.2173356002
Bulgaria,2022,13999.6719197289
Bulgaria,2023,15883.8618545581
Bulgaria,2024,17412.4115085691
Bahrain,2015,23734.0551143019
Bahrain,2016,23800.001440631
Bahrain,2017,24784.7693514607
Bahrain,2018,26324.4066549559
Bahrain,2019,27259.7438599327
Bahrain,2020,24342.8444554718
Bahrain,2021,27147.8083882286
Bahrain,2022,30470.5219276023
Bahrain,2023,29290.1284215098
Bahrain,2024,30048.2177718844
"Bahamas, The",2015,30719.405417469
"Bahamas, The",2016,30616.5363157284
"Bahamas, The",2017,31875.4881749619
"Bahamas, The",2018,32642.3353203452
"Bahamas, The",2019,33640.3369861278
"Bahamas, The",2020,26178.7537607708
"Bahamas, The",2021,30367.8605757708
"Bahamas, The",2022,34957.1613279737
"Bahamas, The",2023,38231.774484278
"Bahamas, The",2024,39455.4466548546
Bosnia and Herzegovina,2015,4662.25883724069
Bosnia and Herzegovina,2016,4928.5665251728
Bosnia and Herzegovina,2017,5345.01985489192
Bosnia and Herzegovina,2018,6047.84584261133
Bosnia and Herzegovina,2019,6122.3753450882
Bosnia and Herzegovina,2020,6130.31133245161
Bosnia and Herzegovina,2021,7295.3438240957
Bosnia and Herzegovina,2022,7655.59421024383
Bosnia and Herzegovina,2023,8663.02322987879
Bosnia and Herzegovina,2024,8957.37294188215
Belarus,2015,5967.05595058777
Belarus,2016,5039.77560949445
Belarus,2017,5785.54491935194
Belarus,2018,6360.037502312
Belarus,2019,6837.77339645635
Belarus,2020,6542.85579976768
Belarus,2021,7489.71894713888
Belarus,2022,7994.64806074889
Belarus,2023,7896.75388295584
Belarus,2024,8316.64776291533
Belize,2015,6154.49593498217
Belize,2016,6142.49873185177
Belize,2017,6072.58267640581
Belize,2018,6031.28139580144
Belize,2019,6190.04792278445
Belize,2020,5227.19363786168
Belize,2021,6122.61158580079
Belize,2022,7068.45478269722
Belize,2023,7459.99815132837
Belize,2024,8429.67959707387
Bermuda,2015,104855.366822135
Bermuda,2016,108747.356144305
Bermuda,2017,112339.425587467
Bermuda,2018,113204.82210838
Bermuda,2019,115798.040775578
Bermuda,2020,106976.546239632
Bermuda,2021,112765.08167306
Bermuda,2022,121613.939983629
Bermuda,2023,132604.439086216
Bermuda,2024,138934.958846463
Bolivia,2015,2996.01289811344
Bolivia,2016,3035.87347732132
Bolivia,2017,3306.30301224425
Bolivia,2018,3500.72642189887
Bolivia,2019,3503.89601123129
Bolivia,2020,3099.94219053514
Bolivia,2021,3384.84486462654
Bolivia,2022,3643.92826984604
Bolivia,2023,3686.27996442176
Bolivia,2024,4001.21133990795
Brazil,2015,8936.19661712113
Brazil,2016,8836.28652735657
Brazil,2017,10080.5092819305
Brazil,2018,9300.66164923219
Brazil,2019,9029.83326681073
Brazil,2020,7074.19378337644
Brazil,2021,7972.5366498646
Brazil,2022,9281.33334441234
Brazil,2023,10377.5892792557
Brazil,2024,10280.3148624429
Barbados,2015,18954.2913724506
Barbados,2016,19065.8069800213
Barbados,2017,19692.7606711615
Barbados,2018,20055.915870771
Barbados,2019,20583.7265786414
Barbados,2020,18347.1109131055
Barbados,2021,18696.7858952957
Barbados,2022,22164.0260273876
Barbados,2023,23804.0249914995
Barbados,2024,25365.7949424181
Brunei Darussalam,2015,30625.128732694
Brunei Darussalam,2016,26663.2973199878
Brunei Darussalam,2017,28024.3824618568
Brunei Darussalam,2018,30988.1190497851
Brunei Darussalam,2019,30426.5730284202
Brunei Darussalam,2020,26834.3592463839
Brunei Darussalam,2021,31006.9636220576
Brunei Darussalam,2022,36632.9280421411
Brunei Darussalam,2023,32890.5492465722
Brunei Darussalam,2024,33417.8357740437
Bhutan,2015,2954.04081911097
Bhutan,2016,3152.30905106786
Bhutan,2017,3435.28804735662
Bhutan,2018,3400.20417245342
Bhutan,2019,3576.87987100503
Bhutan,2020,3191.66906999331
Bhutan,2021,3570.61257980872
Bhutan,2022,3711.32767981591
Bhutan,2023,3839.4093039286
Bhutan,2024,
Botswana,2015,6141.20394726616
Botswana,2016,6749.05994339013
Botswana,2017,7104.96401088027
Botswana,2018,7407.95940141786
Botswana,2019,7172.08956480028
Botswana,2020,6323.29749806946
Botswana,2021,7807.88794500125
Botswana,2022,8328.70905682185
Botswana,2023,7826.35376483298
Botswana,2024,7695.2420641819
Central African Republic,2015,366.322853938121
Central African Republic,2016,387.176203444318
Central African Republic,2017,432.324025684263
Central African Republic,2018,455.243962859534
Central African Republic,2019,449.228467602439
Central African Republic,2020,462.879071294011
Central African Republic,2021,492.263142830507
Central African Republic,2022,467.359825026238
Central African Republic,2023,495.978897288721
Central African Republic,2024,516.170424537757
Canada,2015,43594.1941045394
Canada,2016,42314.0615817218
Canada,2017,45129.628116623
Canada,2018,46539.1761570405
Canada,2019,46352.8693445211
Canada,2020,43537.839298904
Canada,2021,52886.6616372703
Canada,2022,56256.8007264015
